pdb_id,bmrb_ids
1a3p,4201
1a7f,994
1a93,4200
1abt,5024
1ahd,4104
1ahl,5
1aml,5400
1aq5,4054
1arq,395
1arr,395
1atx,1206
1auu,4095
1axh,4233;5702;6192;6194
1azj,4058
1azk,4059
1azp,5905;5908
1azq,5905;5908
1b1v,4292
1b4g,4476
1b4i,4477
1b5n,4292
1b69,4165
1b8q,4304
1b9p,4481
1b9q,4481
1ba5,4210
1bal,2546
1bba,2223
1bbg,4211
1bbl,2546
1bbx,5909;5910
1bcv,4212
1bde,4192
1bds,480
1bf4,5909;5910
1bfw,4213
1bfy,4182
1bh1,4194
1bhi,4216
1big,4190
1bk8,4163
1bku,4219
1bm4,4221
1bmx,4220
1bnz,5909;5910
1bpx,5208;5209
1brv,4020
1bus,53
1bxp,4195
1byv,4260
1bzb,4261
1c49,4760
1c55,4443
1c56,4443
1c6w,4696
1c8c,5905;5908;5909;5910
1c9s,5403
1ca5,5905;5908;5909;5910
1ca6,5905;5908;5909;5910
1cb3,4483
1cbh,192
1ccv,4422
1ce3,4487
1ce4,4322
1cf4,4700
1cix,5268
1cjg,4813
1ckk,5770
1ckw,4595
1ckx,4596
1cky,4596;4597
1ckz,4595;4598
1cnl,4399
1cnn,4500
1cqu,4551
1cr8,4475
1cw5,4506
1cw6,4507
1cwx,4669
1cxr,4509
1d0r,4741
1d0w,5214
1d1e,5215
1d1f,5216
1d2l,4514
1d5g,4123;4516
1d6k,4395
1d7q,4519
1ddm,4263
1df6,4461
1dkc,4615
1dl0,4685
1dlz,4601
1dp3,4584
1dpu,4460
1dt7,5544
1dtk,66
1du1,4631
1du9,4585
1dv0,4757
1dx7,4303;4616
1e0e,4619
1e0g,4680
1e0l,4714
1e0m,4713
1e0n,4715
1e74,4845
1e75,4846
1e76,4847
1e8p,3322
1e8q,3322
1e91,4841;5457
1ed0,4587
1ed7,4588
1edp,2262
1eds,4655
1edv,4654
1edw,4653
1edx,4652
1ee7,4604
1ef4,4571
1egf,2201
1ejp,4591
1ejq,4591;4592
1ekz,4894
1emx,4755
1emz,4699
1epg,1729
1eph,1729
1epi,1729
1epj,1729
1eqx,4607
1ev0,4237
1f62,4928
1f6u,4780;4781
1f8p,4862;5550
1f95,4911
1f96,4911
1fcl,5152
