1axh	4233;5702;6192;6194
1b69	4165 (>60)
1b8q	4304  (>60)
1bhi	4216  (ok)
1bpx	5208;5209
1brv	4020 (nao achou)
1c9s	5403 (>60)
1cf4	4700 (>60)
1cjg	4813  (62-pass)
1ckk	5770 (>60)
1cr8	4475  (ok)
1d2l	4514
1d5g	4123;4516
1d6k	4395
1d7q	4519
1ddm	4263
1dlz	4601  (fora do teste)
1dpu	4460
1dt7	5544
1dv0	4757
1e0e	4619
1e0g	4680
1e91	4841;5457
1ee7	4604
1ef4	4571
1ekz	4894
1ev0	4237
1f62	4928
1f6u	4780;4781
1f95	4911
1f96	4911
1fje	4867 (>60)
1gjz	5101 (duas cadeias)
1gtf	5403
1gtn	5403
1h3h	5388 (teste)
1h8b	4453
1ha8	4979
1ha9	5176
1hbw	5180
1hd6	4820
1hf9	4906
1hs5	4934
1i5h	4963
1i6y	5201
1i8e	5021
1i8x	4971
1i8y	4971
1i98	5020
1ih9	4993
1ihq	4995
1iv6	5317;5361
1iyc	5491
1iym	5459
1j5m	4725
1j5n	4869
1jco	4997
1jgn	5084;5085
1jm4	4312
1jmc	5821;5822;5823
1k4u	5498
1k7b	5210
1k81	5294
1k8b	5294
1ka6	5212
1ka7	5211
1kat	5185;5198
1kbe	5203
1kbf	5203
1klq	5299
1kma	5276
1kqq	4334
1kyj	5301
1l1k	5293
1l1m	5345
1l3e	5306
1l6e	4473
1l8c	5327
1lfu	5349
1lo1	5363
1lvz	5376
1lxf	5386
1m4p	5532
1m4q	5532
1m8b	1374;5472;5473
1m8c	1374;5472;5473
1mpe	5654
1mv4	5610
1mwn	5544
1n7t	5631
1n87	5594
1nd9	5624
1nj3	5669
1nk2	4141
1nk3	4141
1npq	5738
1nwd	5770
1nxn	5608
1om2	4496
1oqp	5722
1osl	5791
1p4q	5306
1pb5	5817
1pd7	5457;5808
1pp5	5859
1psb	5838
1pv0	5847
1pxq	5860
1q10	5875
1q2f	5911
1q2i	5911
1q2n	4023;5656
1q5w	5669
1q68	5944
1q69	5944;5945
1q7o	5934
1qey	4355
1qgm	4351
1qhk	4424
1qmw	4503
1r2a	4473
1r7c	5978
1r7d	5978
1r7e	5978
1r7f	5978
1r7g	5978
1r8u	5987
1r9v	6039
1rgo	6005
1rkj	4867
1s1o	6101
1s40	5232
1s4a	6105
1s6w	6085
1sb0	6095
1sop	6200
1sp7	6200
1suy	5824
1sv1	5824
1sx0	6191
1sx1	6191
1sy9	5480
1tm6	6289
1tn9	4165
1tot	6238
1v92	5876
1vdi	10012
1vdj	9500
1vex	10002
1vj6	5131;6060
1w1n	6228
1wa7	6261;6456
1wrg	6350
1x32	6589
1x9b	6291
1xr0	4790
1xrd	6349
1xsw	6351
1xut	6384
1y03	6427
1y04	6427
1y4e	6446
1yiu	6459
1ywi	6558;6559
1ywj	6558
1yyb	6556
1z0q	6554
1z0r	4281
1z9i	6579
1znu	6627
1zr7	6721
1zrp	5601
1zsg	6777
1zxh	6679
2a05	6740
2a4j	5503;5992
2aff	6748
2agh	6095;6750
2aiz	6465;6856;6858
2ajj	6757
2ajm	6757
2ajn	6757
2ajo	6757
2ap7	6774  (ok)
2ap8	6775
2ari	6867
2b6g	6956
2b87	6806
2b88	6804 (ok)
2b89	6805
2bai	6863
2bbu	6580
2bbx	6865
2bjc	7354
2bn5	6690
2bug	6696
2c06	6925
2cef	6993  (teste)
2ceh	6991
2cez	6996
2cfj	6998
2cpb	4197;4209
2cps	4197
2czp	10001
2czy	6749
2dah	11271
2dq5	7124
2dt7	11365
2dwv	10028
2dyf	6721
2e45	7365
2e8d	10022
2ecj	11341
2ecm	11343
2elk	10150
2em1	10166
2em2	10167
2em3	10168
2em4	10179
2em5	10196
2em6	10197
2em7	10180
2em8	10198
2em9	10181
2ema	10199
2emb	10200
2emc	10201
2eme	10182
2emf	10183
2emg	10184
2emh	10202
2emi	10203
2emj	10204
2emk	10205
2eml	10303
2emm	10304
2emp	10305
2emv	10224
2emw	10225
2emx	10226
2emy	10227
2emz	10228
2en0	10229
2en1	10230
2en2	10231
2en3	10232
2en4	10233
2en6	10151
2en7	10152
2en8	10169
2en9	10170
2ena	10171
2enc	10172
2ene	10173
2enf	10174
2enh	10175
2eoe	11167
2eof	10216
2eog	10217
2eoh	10206
2eoi	11165
2eoj	10218
2eok	10219
2eol	11166
2eom	10189
2eon	10220
2eop	10191
2eoq	10192
2eor	10221
2eos	10157
2eou	10158
2eov	10153
2eow	10207
2eox	10208
2eoy	10154
2eoz	10209
2ep0	10210
2ep1	11169
2ep2	10155
2ep3	11170
2epq	11378
2epr	11379
2eps	11380
2err	6895
2eti	397
2ewl	6916
2f8b	6916
2fho	11366;11367
2frw	7035
2fs1	6945
2fxp	6969
2fxy	7012
2fxz	7011
2fy9	6826
2g35	7061
2g3q	7002
2g46	6997
2g9j	7080
2gkd	6726
2glo	7097
2gqe	7158
2gs0	6225
2h1z	7117
2h7d	7150
2h7e	7150
2hgh	7194
2hug	7241
2i5o	15160
2i94	7293
2i9m	7282
2igz	7294;7295
2iij	6298
2ike	15106
2it8	7361
2j5d	7288
2jm0	15000
2jm2	7262
2jmf	15016
2jmx	15072
2jmy	15099
2jnh	15111
2jo9	15153
2joa	15154
2jod	15166
2jp5	15218
2jpp	15257
2jq8	15271
2jtt	15418
2jv4	15466
2jvd	15476
2jw1	15504
2jws	15535
2jwu	15537
2jx8	15550
2jxc	15554
2jxf	15559
2jy0	15579
2jy7	15591
2jy8	15592
2jzi	15624
2k03	15635
2k04	15636
2k05	15637
2k0b	15591
2k17	15671
2k1k	15728
2k38	17015
